date,airline,origin,destination,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay,arrival_delay,flight_duration,distance,delay_category,day_of_week,month,hour
2024-01-01 00:00:00,BA,LHR,LAX,742,765,952,973,23,21,2.1,1714,Moderate Delay,Monday,1,0
2024-01-01 01:00:00,UA,LAX,NRT,510,535,620,649,25,29,1.1,883,Moderate Delay,Monday,1,1
2024-01-01 02:00:00,QF,CDG,LAX,2332,2329,2612,2615,-3,3,2.8,2274,Early/On-time,Monday,1,2
2024-01-01 03:00:00,DL,NRT,CDG,657,729,937,1004,72,67,2.8,2204,Major Delay,Monday,1,3
2024-01-01 04:00:00,BA,NRT,DXB,1745,1725,1955,1921,-20,-34,2.1,1677,Early/On-time,Monday,1,4
2024-01-01 05:00:00,EK,DXB,HKG,2100,2153,2370,2433,53,63,2.7,2148,Moderate Delay,Monday,1,5
2024-01-01 06:00:00,AA,LHR,FRA,2120,2166,2230,2265,46,35,1.1,844,Moderate Delay,Monday,1,6
2024-01-01 07:00:00,BA,LHR,FRA,1922,1989,2262,2331,67,69,3.4,2759,Major Delay,Monday,1,7
2024-01-01 08:00:00,QF,FRA,NRT,656,636,786,765,-20,-21,1.3,1003,Early/On-time,Monday,1,8
2024-01-01 09:00:00,DL,SYD,FRA,208,192,378,363,-16,-15,1.7,1394,Early/On-time,Monday,1,9
2024-01-01 10:00:00,UA,LHR,CDG,455,509,785,855,54,70,3.3,2648,Moderate Delay,Monday,1,10
2024-01-01 11:00:00,QF,JFK,SYD,0,-20,400,410,-20,10,4.0,3203,Early/On-time,Monday,1,11
2024-01-01 12:00:00,QF,SYD,NRT,1420,1400,1870,1834,-20,-36,4.5,3585,Early/On-time,Monday,1,12
2024-01-01 13:00:00,AA,JFK,LAX,221,217,601,606,-4,5,3.8,3055,Early/On-time,Monday,1,13
2024-01-01 14:00:00,LH,NRT,SIN,753,768,963,977,15,14,2.1,1675,Minor Delay,Monday,1,14
2024-01-01 15:00:00,DL,SYD,LHR,803,860,863,930,57,67,0.6,500,Moderate Delay,Monday,1,15
2024-01-01 16:00:00,KA,LHR,CDG,1400,1404,1830,1843,4,13,4.3,3405,Minor Delay,Monday,1,16
2024-01-01 17:00:00,QF,LAX,LAX,950,942,1370,1376,-8,6,4.2,3370,Early/On-time,Monday,1,17
2024-01-01 18:00:00,LH,DXB,SYD,109,128,279,300,19,21,1.7,1328,Moderate Delay,Monday,1,18
2024-01-01 19:00:00,KA,JFK,SIN,1914,1938,2284,2300,24,16,3.7,2921,Moderate Delay,Monday,1,19
2024-01-01 20:00:00,DL,SYD,FRA,451,474,661,693,23,32,2.1,1667,Moderate Delay,Monday,1,20
2024-01-01 21:00:00,CX,LHR,SYD,1835,1839,2275,2280,4,5,4.4,3501,Minor Delay,Monday,1,21
